[],['A'],['B'],['C'],['D'],['E'],"['A', 'B']","['A', 'C']","['A', 'D']","['A', 'E']","['B', 'C']","['B', 'D']","['B', 'E']","['C', 'D']","['C', 'E']","['D', 'E']","['A', 'B', 'C']","['A', 'B', 'D']","['A', 'B', 'E']","['A', 'C', 'D']","['A', 'C', 'E']","['A', 'D', 'E']","['B', 'C', 'D']","['B', 'C', 'E']","['B', 'D', 'E']","['C', 'D', 'E']","['A', 'B', 'C', 'D']","['A', 'B', 'C', 'E']","['A', 'B', 'D', 'E']","['A', 'C', 'D', 'E']","['B', 'C', 'D', 'E']","['A', 'B', 'C', 'D', 'E']"
1,1,1,1,1,1,3,3,3,3,3,3,29,3,3,3,7,7,25,7,7,7,7,25,25,7,15,17,17,15,17,1
B,E

[],['A'],['B'],['C'],['D'],['E'],"['A', 'B']","['A', 'C']","['A', 'D']","['A', 'E']","['B', 'C']","['B', 'D']","['B', 'E']","['C', 'D']","['C', 'E']","['D', 'E']","['A', 'B', 'C']","['A', 'B', 'D']","['A', 'B', 'E']","['A', 'C', 'D']","['A', 'C', 'E']","['A', 'D', 'E']","['B', 'C', 'D']","['B', 'C', 'E']","['B', 'D', 'E']","['C', 'D', 'E']","['A', 'B', 'C', 'D']","['A', 'B', 'C', 'E']","['A', 'B', 'D', 'E']","['A', 'C', 'D', 'E']","['B', 'C', 'D', 'E']","['A', 'B', 'C', 'D', 'E']"
1,16,16,16,16,16,25,25,25,25,25,25,33,25,25,25,32,32,26,32,32,32,32,26,26,32,41,17,17,41,17,1
A,B,C,D

[],['A'],['B'],['C'],['D'],['E'],"['A', 'B']","['A', 'C']","['A', 'D']","['A', 'E']","['B', 'C']","['B', 'D']","['B', 'E']","['C', 'D']","['C', 'E']","['D', 'E']","['A', 'B', 'C']","['A', 'B', 'D']","['A', 'B', 'E']","['A', 'C', 'D']","['A', 'C', 'E']","['A', 'D', 'E']","['B', 'C', 'D']","['B', 'C', 'E']","['B', 'D', 'E']","['C', 'D', 'E']","['A', 'B', 'C', 'D']","['A', 'B', 'C', 'E']","['A', 'B', 'D', 'E']","['A', 'C', 'D', 'E']","['B', 'C', 'D', 'E']","['A', 'B', 'C', 'D', 'E']"
1,1,1,1,1,1,4,4,4,4,4,4,322,4,4,4,15,15,311,15,15,15,15,311,311,15,64,262,262,64,262,1
B,E

[],['A'],['B'],['C'],['D'],['E'],"['A', 'B']","['A', 'C']","['A', 'D']","['A', 'E']","['B', 'C']","['B', 'D']","['B', 'E']","['C', 'D']","['C', 'E']","['D', 'E']","['A', 'B', 'C']","['A', 'B', 'D']","['A', 'B', 'E']","['A', 'C', 'D']","['A', 'C', 'E']","['A', 'D', 'E']","['B', 'C', 'D']","['B', 'C', 'E']","['B', 'D', 'E']","['C', 'D', 'E']","['A', 'B', 'C', 'D']","['A', 'B', 'C', 'E']","['A', 'B', 'D', 'E']","['A', 'C', 'D', 'E']","['B', 'C', 'D', 'E']","['A', 'B', 'C', 'D', 'E']"
1,261,261,261,261,261,310,310,310,310,310,310,16,310,310,310,321,321,5,321,321,321,321,5,5,321,324,2,2,324,2,1
A,B,C,D

[],['A'],['B'],['C'],['D'],['E'],"['A', 'B']","['A', 'C']","['A', 'D']","['A', 'E']","['B', 'C']","['B', 'D']","['B', 'E']","['C', 'D']","['C', 'E']","['D', 'E']","['A', 'B', 'C']","['A', 'B', 'D']","['A', 'B', 'E']","['A', 'C', 'D']","['A', 'C', 'E']","['A', 'D', 'E']","['B', 'C', 'D']","['B', 'C', 'E']","['B', 'D', 'E']","['C', 'D', 'E']","['A', 'B', 'C', 'D']","['A', 'B', 'C', 'E']","['A', 'B', 'D', 'E']","['A', 'C', 'D', 'E']","['B', 'C', 'D', 'E']","['A', 'B', 'C', 'D', 'E']"
1,261,261,261,261,261,312,312,312,312,312,312,334,312,312,312,333,333,313,333,333,333,333,313,313,333,384,262,262,384,262,1
A,B,C,D

